company,ts_code,priority,pe_ttm,pb,pe_3y_level,pb_3y_level,pe_pb_pattern,q1_net_income,q1_oper_cf,q1_cf_to_ni,ar_yoy,inv_yoy,ar_to_rev,inv_to_rev,bs_warning,rzye,circ_mv_yuan,rz_to_float,hot_days,limit_events,net_flow_yi,hsgt_days,margin_delta_yi,diverge_tags,consensus_tags,diverge_score,research_priority_score,snapshot_generated_at,source_reference_date,source_margin_date,source_fin_date
长电科技,600584.SH,P1,98.9181,5.6813,>p90,>p90,多重扩张,290272770.67,1778902234.03,6.128381349459628,-0.01623588600255195,0.22304328539082308,0.5796018708596303,0.4806467590266198,,8254704162.0,163427235418.0,0.050509966352222956,43,4,-43.913413,5,50.05786525,高热度+大额净流出 | 热榜活跃、沪深港通 Top10 较低,,2,9,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
通富微电,002156.SZ,P1,74.7584,6.9055,p50-p75,>p90,资产重估型,329057400.55,941604157.66,2.861519467686076,0.12286794247872107,0.47486943010479904,0.7169998611213538,0.6430750690829384,存货增长偏快,,,,54,5,-98.72334000000001,10,24.07873153,高热度+大额净流出,,1,4,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
汇成股份,688403.SH,P1,292.7853,7.396,>p90,>p90,多重扩张,-12809187.46,82311632.69,-6.425983923417418,0.28295078517921646,0.18795130508281357,0.8248920130363857,0.9308451238154305,,1897457247.0,29668689707.999996,0.06395487180845608,0,0,-8.821802,0,10.65269456,,,0,4,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
中微公司,688012.SH,P1,127.982,14.3668,>p90,>p90,多重扩张,930487319.17,-158726143.08,-0.1705838863248396,0.6130198315939688,-0.025362545047171527,0.8802636610230139,2.490183104411931,应收暴增,4875689207.0,349247316020.0,0.013960563140650703,2,0,55.253087,8,9.41703624,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
拓荆科技,688072.SH,P1,128.6034,29.1777,>p90,>p90,多重扩张,570602298.59,-519847055.4,-0.9110497042941819,-0.11884798933709988,0.051386954580679045,1.2717106802833151,7.383405441274557,应收超单季收入,2702161420.0,211457190930.0,0.012778763437250585,0,0,24.562417,1,15.58111909,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
华海清科,688120.SH,P1,105.9676,15.0646,>p90,>p90,多重扩张,247304870.48,7891015.42,0.031908046957118706,0.7818522302195352,0.21269931724292943,1.0353615397420697,3.520338112525579,应收暴增 | 应收超单季收入,1380031136.0,116311281610.0,0.011864980910685366,0,0,31.096303999999996,0,2.93999446,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
京仪装备,688652.SH,P1,161.1084,11.3613,>p90,>p90,多重扩张,46444902.08,-37322120.91,-0.803578417405504,-0.6065365964824064,0.21955098183078633,0.5509827336490977,6.394560399105765,,323686065.0,18352792500.0,0.01763688359686952,0,0,21.597954,0,0.31730852,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
芯源微,688037.SH,P1,823.3812,20.7406,>p90,>p90,多重扩张,3508887.8,-343495575.79,-97.89300637940035,-0.27487771962858865,0.35850288755158577,1.1967305915248823,8.168096870502636,存货增长偏快 | 应收超单季收入,856014329.0,58092857676.0,0.014735276645783715,0,1,35.129815,0,5.60715159,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
盛美上海,688082.SH,P1,144.7693,13.3056,>p90,>p90,多重扩张,104288813.23,-143977201.03,-1.3805622728918265,0.44800301299422274,0.16461695666224374,2.2402798280765923,3.3934530912149006,应收增长偏快 | 应收超单季收入,1187966738.0,179574125820.0,0.00661546719258867,0,0,18.547185,0,4.07414002,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
富创精密,688409.SH,P1,873.7832,13.824,>p90,>p90,多重扩张,57944907.12,-85679940.74,-1.4786448887140782,0.2549530643142071,0.13549891149996982,1.5854499398006132,0.9880275249917022,应收超单季收入,881322924.0,62467003200.0,0.014108615410575676,0,1,26.234334000000004,0,2.74352287,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
